"","response_uuid","Trial_tot","Age","Usable frames (%)","novel_good_avg","Stimulus.type"
"70","1da22c85-469f-44c2-9bb3-312daf3b21a5","6","12",0.82716049382716,0.634586215265138,"Nonsocial"
"71","2422cca0-c228-4211-86c5-809afbcc7a4d","1","12",0.497942386831276,0.40495867768595,"Nonsocial"
"72","2422cca0-c228-4211-86c5-809afbcc7a4d","2","12",0.458677685950413,0.36036036036036,"Social"
"73","2422cca0-c228-4211-86c5-809afbcc7a4d","5","12",0.520661157024793,0.80952380952381,"Social"
"74","257e85c7-6ba9-45b5-98da-5cd61b51b694","1","12",0.666666666666667,0.689658759883479,"Nonsocial"
"75","257e85c7-6ba9-45b5-98da-5cd61b51b694","2","12",0.723140495867769,0.539791258969341,"Social"
"76","257e85c7-6ba9-45b5-98da-5cd61b51b694","3","12",0.917355371900826,0.708815958815959,"Social"
"77","257e85c7-6ba9-45b5-98da-5cd61b51b694","4","12",0.781893004115226,0.67799043062201,"Nonsocial"
"78","257e85c7-6ba9-45b5-98da-5cd61b51b694","5","12",0.380165289256198,0.554347826086957,"Social"
"79","257e85c7-6ba9-45b5-98da-5cd61b51b694","6","12",0.39917695473251,0.595155810684161,"Nonsocial"
"80","2817e5e3-7bf5-45c3-b800-2e0ddc4ed608","1","6",0.475206611570248,0.652203692674211,"Nonsocial"
"81","2817e5e3-7bf5-45c3-b800-2e0ddc4ed608","2","6",0.611570247933884,0.598923141891892,"Social"
"82","2817e5e3-7bf5-45c3-b800-2e0ddc4ed608","3","6",0.433884297520661,0.460714285714286,"Social"
"83","2817e5e3-7bf5-45c3-b800-2e0ddc4ed608","4","6",0.442148760330579,0.579439252336449,"Nonsocial"
"84","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","1","12",0.68724279835391,0.407288280581694,"Social"
"85","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","2","12",0.884297520661157,0.478575954379851,"Nonsocial"
"86","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","3","12",0.847107438016529,0.351649928263988,"Nonsocial"
"87","2ac97100-84f4-4172-a88f-82e8e886ea58","2","12",0.413223140495868,0.566705426356589,"Social"
"88","2ac97100-84f4-4172-a88f-82e8e886ea58","3","12",0.615702479338843,0.308724832214765,"Social"
"89","2ac97100-84f4-4172-a88f-82e8e886ea58","5","12",0.582644628099174,0.677522072658851,"Nonsocial"
"90","2ac97100-84f4-4172-a88f-82e8e886ea58","6","12",0.407407407407407,0.377283473028154,"Social"
"91","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","1","12",0.460905349794239,0.430440199335548,"Social"
"92","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","2","12",0.644628099173554,0.275407925407925,"Nonsocial"
"93","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","3","12",0.674897119341564,0.528726287262873,"Nonsocial"
"94","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","4","12",0.646090534979424,0.579718140328,"Social"
"95","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","5","12",0.417355371900826,0.315726232817456,"Nonsocial"
"96","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","6","12",0.855371900826446,0.458403126744835,"Social"
"97","2f184f61-d2b2-423c-bed5-027b0514aebd","1","6",0.801652892561983,0.590307256923388,"Social"
"98","2f184f61-d2b2-423c-bed5-027b0514aebd","2","6",0.504132231404959,0.59016393442623,"Nonsocial"
"99","2f184f61-d2b2-423c-bed5-027b0514aebd","3","6",0.930041152263374,0.586283185840708,"Social"
"100","2f184f61-d2b2-423c-bed5-027b0514aebd","4","6",0.59504132231405,0.576388888888889,"Nonsocial"
"101","2f184f61-d2b2-423c-bed5-027b0514aebd","5","6",0.793388429752066,0.582589285714286,"Social"
"102","2f184f61-d2b2-423c-bed5-027b0514aebd","6","6",0.351239669421488,0.8,"Nonsocial"
"103","2f9f948f-d9da-40f2-b5b1-247207217245","1","12",0.938271604938272,0.651518502137697,"Nonsocial"
"104","2f9f948f-d9da-40f2-b5b1-247207217245","2","12",0.789256198347107,0.674705497382199,"Social"
"105","2f9f948f-d9da-40f2-b5b1-247207217245","3","12",0.810699588477366,0.471272629261938,"Social"
"106","2f9f948f-d9da-40f2-b5b1-247207217245","4","12",0.867768595041322,0.374310776942356,"Nonsocial"
"107","2f9f948f-d9da-40f2-b5b1-247207217245","5","12",0.351239669421488,0.77416744475568,"Social"
"108","31166c21-7fcb-4d7f-b606-1ce38fbea56f","1","6",0.753086419753086,0.311052104979604,"Social"
"109","31166c21-7fcb-4d7f-b606-1ce38fbea56f","2","6",0.84297520661157,0.621323529411765,"Nonsocial"
"110","31166c21-7fcb-4d7f-b606-1ce38fbea56f","3","6",0.90495867768595,0.623024695785221,"Social"
"111","31166c21-7fcb-4d7f-b606-1ce38fbea56f","4","6",0.711934156378601,0.680700350949628,"Nonsocial"
"112","31166c21-7fcb-4d7f-b606-1ce38fbea56f","5","6",0.409090909090909,0.596135265700483,"Social"
"113","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","6",0.436213991769547,0.69811320754717,"Nonsocial"
"114","3253da16-238b-4f45-8610-dff84aa897d4","1","6",0.880658436213992,0.546574920406696,"Social"
"115","3253da16-238b-4f45-8610-dff84aa897d4","2","6",0.669421487603306,0.635152696556205,"Nonsocial"
"116","3253da16-238b-4f45-8610-dff84aa897d4","3","6",0.769547325102881,0.688347671084244,"Nonsocial"
"117","3253da16-238b-4f45-8610-dff84aa897d4","4","6",0.603305785123967,0.191780821917808,"Social"
"118","3253da16-238b-4f45-8610-dff84aa897d4","5","6",0.640495867768595,0.540112201963534,"Social"
"119","3253da16-238b-4f45-8610-dff84aa897d4","6","6",0.872427983539095,0.496901864463548,"Nonsocial"
"120","33f4dfee-b330-49b3-a70d-c5497436bfe9","1","12",0.925619834710744,0.553323412698413,"Social"
"121","33f4dfee-b330-49b3-a70d-c5497436bfe9","2","12",0.636363636363636,0.424722628365013,"Nonsocial"
"122","33f4dfee-b330-49b3-a70d-c5497436bfe9","3","12",0.491735537190083,0.294117647058824,"Nonsocial"
"123","33f4dfee-b330-49b3-a70d-c5497436bfe9","4","12",0.921487603305785,0.583439305713584,"Social"
"124","33f4dfee-b330-49b3-a70d-c5497436bfe9","5","12",0.78099173553719,0.53968253968254,"Nonsocial"
"125","33f4dfee-b330-49b3-a70d-c5497436bfe9","6","12",0.790123456790123,0.270833333333333,"Social"
"126","388e70f5-902e-4197-9bf0-61e5f32de097","1","12",0.347107438016529,0.55952380952381,"Nonsocial"
