"","response_uuid","Age","Trial","Usable frames (%)","change_good","Stimulus type"
"72","e1de4a92-a702-4f77-92cb-437799e28dae","6",2,0.715909090909091,0.507936507936508,"Big"
"73","e1de4a92-a702-4f77-92cb-437799e28dae","6",3,0.877022653721683,0.619926199261993,"Big"
"74","e1de4a92-a702-4f77-92cb-437799e28dae","6",4,0.544715447154472,0.66865671641791,"Big"
"75","f22b3366-1a35-4b22-8bdf-d29879221af7","6",1,0.691056910569106,0.510588235294118,"Big"
"76","f22b3366-1a35-4b22-8bdf-d29879221af7","6",2,0.801948051948052,0.94331983805668,"Big"
"77","f22b3366-1a35-4b22-8bdf-d29879221af7","6",3,0.454692556634304,0.402135231316726,"Big"
"78","f22b3366-1a35-4b22-8bdf-d29879221af7","6",4,0.832520325203252,0.10546875,"Big"
"79","fb1824e0-7cc6-4939-a9d4-a808e433352a","6",1,0.811382113821138,0.653306613226453,"Small"
"80","fb1824e0-7cc6-4939-a9d4-a808e433352a","6",2,0.592532467532468,0.413698630136986,"Small"
"81","fb1824e0-7cc6-4939-a9d4-a808e433352a","6",3,0.535598705501618,0.38368580060423,"Small"
"82","fb1824e0-7cc6-4939-a9d4-a808e433352a","6",4,0.790243902439024,0.353909465020576,"Small"
