"","response_uuid","Age","Trial","Usable frames (%)","person_good"
"39","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","7",0.955555555555556,0.294573643410853
"40","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","8",0.985185185185185,0.488721804511278
"41","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","9",0.962686567164179,0.852713178294574
"42","3b93806b-9f87-48bc-bd34-38b8e036ec90","12","1",0.793893129770992,0.211538461538462
"43","3b93806b-9f87-48bc-bd34-38b8e036ec90","12","10",0.977272727272727,0.558139534883721
"44","3b93806b-9f87-48bc-bd34-38b8e036ec90","12","2",0.92436974789916,0.618181818181818
"45","3b93806b-9f87-48bc-bd34-38b8e036ec90","12","3",0.883333333333333,0.660377358490566
"46","3b93806b-9f87-48bc-bd34-38b8e036ec90","12","4",0.895522388059702,0.525
"47","3b93806b-9f87-48bc-bd34-38b8e036ec90","12","5",0.984962406015038,0.442748091603053
"48","3b93806b-9f87-48bc-bd34-38b8e036ec90","12","6",0.879699248120301,0.495726495726496
"49","3b93806b-9f87-48bc-bd34-38b8e036ec90","12","7",0.948148148148148,0.828125
"50","3b93806b-9f87-48bc-bd34-38b8e036ec90","12","8",0.948148148148148,0.5625
"51","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","2",0.890756302521008,0.726415094339623
"52","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","3",0.925,0.963963963963964
"53","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","4",0.977611940298508,0.885496183206107
"54","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","6",0.947368421052632,0.888888888888889
"55","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","7",0.97037037037037,0.984732824427481
"56","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","8",0.718518518518519,0.536082474226804
"57","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","9",0.917910447761194,0.804878048780488
"58","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","1",0.717557251908397,0.829787234042553
"59","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","2",0.974789915966387,0.21551724137931
"60","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","4",0.970149253731343,0.523076923076923
"61","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","5",0.969924812030075,0.372093023255814
"62","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","7",0.955555555555556,0.488372093023256
"63","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","8",0.918518518518519,0.411290322580645
"64","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","1",0.954198473282443,0.816
"65","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","2",0.941176470588235,0.8125
"66","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","3",0.908333333333333,0.669724770642202
"67","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","4",0.985074626865672,0.78030303030303
"68","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","6",0.984962406015038,0.755725190839695
"69","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","7",0.888888888888889,0.741666666666667
"70","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","8",0.785185185185185,0.707547169811321
"71","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","9",0.597014925373134,0.8375
"72","510ce501-f2b4-4c71-baef-5722ca1d840b","12","1",0.732824427480916,0.791666666666667
"73","510ce501-f2b4-4c71-baef-5722ca1d840b","12","10",0.954545454545455,0.349206349206349
"74","510ce501-f2b4-4c71-baef-5722ca1d840b","12","2",0.92436974789916,0.672727272727273
"75","510ce501-f2b4-4c71-baef-5722ca1d840b","12","3",0.966666666666667,0.577586206896552
"76","510ce501-f2b4-4c71-baef-5722ca1d840b","12","4",0.985074626865672,0.560606060606061
"77","510ce501-f2b4-4c71-baef-5722ca1d840b","12","5",0.977443609022556,0.876923076923077
"78","510ce501-f2b4-4c71-baef-5722ca1d840b","12","6",0.954887218045113,0.52755905511811
"79","510ce501-f2b4-4c71-baef-5722ca1d840b","12","7",0.948148148148148,0.609375
"80","510ce501-f2b4-4c71-baef-5722ca1d840b","12","8",0.977777777777778,0.68939393939394
"81","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","1",0.435114503816794,0.298245614035088
"82","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","10",0.795454545454545,0.942857142857143
"83","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","2",0.823529411764706,0.448979591836735
"84","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","3",0.95,0.201754385964912
"85","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","4",0.955223880597015,0.3515625
"86","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","5",0.977443609022556,0.176923076923077
"87","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","6",0.924812030075188,0.365853658536585
"88","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","8",0.888888888888889,0.758333333333333
"89","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","9",0.776119402985075,0.913461538461538
"90","5f983d44-1037-4c49-8668-8f7aef902000","6","1",0.885496183206107,0.491379310344828
"91","5f983d44-1037-4c49-8668-8f7aef902000","6","2",0.915966386554622,0.660550458715596
"92","5f983d44-1037-4c49-8668-8f7aef902000","6","3",0.658333333333333,0.367088607594937
"93","69296e59-1aec-4e58-8c60-3e7d2f717892","12","1",0.641221374045801,0.535714285714286
"94","69296e59-1aec-4e58-8c60-3e7d2f717892","12","10",0.606060606060606,0.05
"95","69296e59-1aec-4e58-8c60-3e7d2f717892","12","2",0.957983193277311,0.543859649122807
"96","69296e59-1aec-4e58-8c60-3e7d2f717892","12","3",0.933333333333333,0.446428571428571
"97","69296e59-1aec-4e58-8c60-3e7d2f717892","12","4",0.970149253731343,0.153846153846154
"98","69296e59-1aec-4e58-8c60-3e7d2f717892","12","6",0.68421052631579,0.78021978021978
"99","69296e59-1aec-4e58-8c60-3e7d2f717892","12","7",0.948148148148148,0.6640625
"100","69296e59-1aec-4e58-8c60-3e7d2f717892","12","8",0.585185185185185,0.924050632911392
"101","69296e59-1aec-4e58-8c60-3e7d2f717892","12","9",0.343283582089552,0.782608695652174
"102","70cf8da0-b9d6-4a56-8c01-9284d0ac0db7","6","3",0.466666666666667,0.446428571428571
"103","73973e72-aa4b-4db6-a0e4-626a472e9c87","6","1",0.480916030534351,0.857142857142857
"104","73973e72-aa4b-4db6-a0e4-626a472e9c87","6","2",0.672268907563025,0.925
"105","73973e72-aa4b-4db6-a0e4-626a472e9c87","6","4",0.776119402985075,0.163461538461538
"106","7429cbef-2376-4c33-a67e-73f1c7247558","6","1",0.809160305343511,0.349056603773585
"107","7429cbef-2376-4c33-a67e-73f1c7247558","6","10",0.848484848484849,0.4375
"108","7429cbef-2376-4c33-a67e-73f1c7247558","6","2",0.983193277310924,0.256410256410256
"109","7429cbef-2376-4c33-a67e-73f1c7247558","6","4",0.985074626865672,0.348484848484849
"110","7429cbef-2376-4c33-a67e-73f1c7247558","6","5",1,0.669172932330827
"111","7429cbef-2376-4c33-a67e-73f1c7247558","6","6",0.962406015037594,0.1484375
